ID,Branch Name,Tier,2017,2016,2015,2014,2013,2012,2011,2010
PL,Parliament Street,NL,9683,12076,12795,13127,12946,14521,14154,14439
PE,Perth Dupont,NL,2613,2776,2817,2808,2687,3082,3095,3122
PV,Pleasant View,NL,4750,5794,6197,6363,6167,5995,5701,5813
PU,Port Union,NL,7880,8973,9281,9309,9044,9738,9453,9339
QS,Queen Saulter,NL,3248,3529,3482,3430,3194,3383,3169,3060
RX,Rexdale,NL,2849,3395,3565,3776,3795,4160,4120,4203
RI,Richview,DL,21028,25381,26745,27801,28028,32069,31877,33085
RD,Riverdale,NL,7396,9004,9463,9886,9885,11016,10998,11278
RN,Runnymede,NL,13960,16724,17455,17735,17408,19179,19060,19591
SWS,S. Walter Stewart,DL,10268,11202,11202,10944,10283,10487,9675,8723
SA,Sanderson,NL,7851,9985,10731,11305,11382,12702,12374,12702
SC,Scarborough Civic Centre,NL,7385,5321,2678,,,,,
SP,Spadina Road,NL,5193,5933,6111,6118,6098,6882,6769,6808
SI,St. Clair Silverthorn,NL,2119,2720,2933,3030,2990,3427,3328,3271
SJ,St. James Town,NL,10002,12041,12507,12976,12690,13862,13095,13161
SL,St. Lawrence,NL,8565,8914,8582,8141,7495,7702,7330,7058
ST,Steeles,NL,6502,7798,8107,8115,8273,8725,8764,8924
SW,Swansea Memorial,NL,1042,1051,938,918,864,936,914,918
TA,Taylor Memorial,NL,3144,3786,3807,3830,3631,4016,3835,3727
TH,Thorncliffe,NL,9867,11933,12150,11980,11085,11137,9724,8888
TOD,Todmorden Room,NL,1769,1986,2060,2158,2191,2497,2536,2637
VV,Victoria Village,NL,3495,4091,4065,4082,3937,4120,3973,3980
WE,Weston,NL,6878,8366,8770,9012,9045,10298,9939,9660
WS,Woodside Square,NL,13813,17574,19203,20143,20146,21845,21951,22470
WP,Woodview Park,NL,3393,4093,4346,4411,4178,4293,4154,4195
WY,Wychwood,NL,8358,9498,9457,9227,8919,9853,9653,9829
YW,York Woods,DL,15772,20299,21800,22755,22184,25556,24815,25529
YO,Yorkville,NL,8411,9719,10150,10348,10129,10941,10606,10559
TRL,Toronto Reference Library,RR,46340,54190,50883,48570,45761,48570,52058,62760
UA,Urban Affairs,RR,,0,,,,0,10,3708
MC,Merril Collection,RR,1,3,3,2,2,2,2,2
OC,Osborne Collection,RR,1,2,2,2,2,1,1,2
IL,Interloan,RR,4,8,10,14,15,23,29,35
AL,Answerline,RR,15,25,36,49,53,94,102,123
NYCL,North York Central Library,RR,51877,75765,78304,77148,74177,80614,79470,85697
BO,Bookmobile One,CWS,1738,2624,3216,3615,2129,2370,2308,2225
BT,Bookmobile Two,CWS,105,59,21,47,1630,1878,1832,1925
HLS,Home Library Service,CWS,2344,2606,2526,2395,2340,2478,2518,2568
ALD,Adult Literacy Department,CWS,6,9,12,19,28,36,41,54
SH,Sunnybrook Hospital,CWS,885,1054,1114,1216,1185,1279,1250,1308
DS,Departmental Staff,OT,195,179,197,241,1379,3804,6521,9272
